timestamp,left_eye_gaze_position_x,left_eye_gaze_position_y,left_eye_pupil_diameter_mm,left_eye_pupil_position_x,left_eye_pupil_position_y,left_eye_pupil_position_z,left_eye_visual_angle_theta,left_eye_visual_angle_phi,left_eye_visual_angle_vector_x,left_eye_visual_angle_vector_y,left_eye_visual_angle_vector_z,left_eye_pixels_per_degree_x,left_eye_pixels_per_degree_y,left_eye_valid,right_eye_gaze_position_x,right_eye_gaze_position_y,right_eye_pupil_diameter_mm,right_eye_pupil_position_x,right_eye_pupil_position_y,right_eye_pupil_position_z,right_eye_visual_angle_theta,right_eye_visual_angle_phi,right_eye_visual_angle_vector_x,right_eye_visual_angle_vector_y,right_eye_visual_angle_vector_z,right_eye_pixels_per_degree_x,right_eye_pixels_per_degree_y,right_eye_valid,bino_eye_gaze_position_x,bino_eye_gaze_position_y,bino_eye_valid,trigger
166897292940500,1192.63,560.163,3.48636,134.054,72.3862,-498.696,9.063,3.17757,0.157278,0.0554306,0.0554306,53.3482,53.3482,1,1139.15,775.827,3.72025,201.348,77.6773,-500.295,0.359916,6.95,0.00623551,0.121003,0.121003,53.3482,53.3482,1,1165.89,667.995,1,0
166897297988300,1192.65,560.161,3.47484,134.069,72.3945,-498.613,9.063,3.17757,0.157278,0.0554306,0.0554306,53.3436,53.3436,1,1139.2,775.793,3.78002,201.356,77.6731,-500.281,0.359916,6.95,0.00623551,0.121003,0.121003,53.3436,53.3436,1,1165.93,667.977,1,0
166897303008600,1192.65,560.161,3.47484,134.069,72.3945,-498.613,9.063,3.17757,0.157278,0.0554306,0.0554306,53.3436,53.3436,1,1139.2,775.793,3.78002,201.356,77.6731,-500.281,0.359916,6.95,0.00623551,0.121003,0.121003,53.3436,53.3436,1,1165.93,667.977,1,0
166897307977700,1190.05,565,3.47927,134.079,72.3884,-498.604,9.01093,3.27438,0.156367,0.0571176,0.0571176,53.3433,53.3433,1,1139.26,775.791,3.79659,201.364,77.6671,-500.28,0.359916,6.95,0.00623551,0.121003,0.121003,53.3433,53.3433,1,1164.65,670.396,1,0
166897312948600,1190.13,565.167,3.49871,134.093,72.3443,-498.678,9.01093,3.27438,0.156367,0.0571176,0.0571176,53.3474,53.3474,1,1139.39,775.791,3.76774,201.394,77.6632,-500.281,0.359916,6.95,0.00623551,0.121003,0.121003,53.3474,53.3474,1,1164.76,670.479,1,0
166897317965400,1190.13,565.167,3.49871,134.093,72.3443,-498.678,9.01093,3.27438,0.156367,0.0571176,0.0571176,53.3474,53.3474,1,1139.39,775.791,3.76774,201.394,77.6632,-500.281,0.359916,6.95,0.00623551,0.121003,0.121003,53.3474,53.3474,1,1164.76,670.479,1,0
166897322929900,1190.21,565.041,3.47471,134.113,72.3841,-498.57,9.01093,3.27438,0.156367,0.0571176,0.0571176,53.3431,53.3431,1,1137.42,775.716,3.76883,201.413,77.6499,-500.305,0.318191,6.95,0.00551265,0.121003,0.121003,53.3431,53.3431,1,1163.81,670.379,1,0
166897327947800,1190.36,565.031,3.49366,134.144,72.3532,-498.615,9.01093,3.27438,0.156367,0.0571176,0.0571176,53.3454,53.3454,1,1137.69,775.655,3.8016,201.449,77.6501,-500.299,0.318191,6.95,0.00551265,0.121003,0.121003,53.3454,53.3454,1,1164.03,670.343,1,0
166897332954700,1190.36,565.031,3.49366,134.144,72.3532,-498.615,9.01093,3.27438,0.156367,0.0571176,0.0571176,53.3454,53.3454,1,1137.69,775.655,3.8016,201.449,77.6501,-500.299,0.318191,6.95,0.00551265,0.121003,0.121003,53.3454,53.3454,1,1164.03,670.343,1,0
166897337935700,1190.55,559.743,3.51208,134.176,72.3647,-498.577,9.01093,3.16792,0.156384,0.0552625,0.0552625,53.3384,53.3384,1,1137.91,775.588,3.80163,201.467,77.6882,-500.203,0.318191,6.95,0.00551265,0.121003,0.121003,53.3384,53.3384,1,1164.23,667.666,1,0
166897342940100,1190.55,559.743,3.51208,134.176,72.3647,-498.577,9.01093,3.16792,0.156384,0.0552625,0.0552625,53.3384,53.3384,1,1137.91,775.588,3.80163,201.467,77.6882,-500.203,0.318191,6.95,0.00551265,0.121003,0.121003,53.3384,53.3384,1,1164.23,667.666,1,0
